,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket,vote_percentage
0,2020,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,False,False,JAMES AVERHART,DEMOCRAT,False,TOTAL,116949,329075,False,20250910,False,35.54
1,2020,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,False,False,JERRY CARL,REPUBLICAN,False,TOTAL,211825,329075,False,20250910,False,64.37
3,2020,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,False,False,BARRY MOORE,REPUBLICAN,False,TOTAL,197996,303569,False,20250910,False,65.22
4,2020,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,False,False,PHYLLIS HARVEY-HALL,DEMOCRAT,False,TOTAL,105286,303569,False,20250910,False,34.68
6,2020,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,False,False,ADIA WINFREY,DEMOCRAT,False,TOTAL,104595,322234,False,20250910,False,32.46
7,2020,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,False,False,MIKE ROGERS,REPUBLICAN,False,TOTAL,217384,322234,False,20250910,False,67.46
10,2020,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,False,False,ROBERT B ADERHOLT,REPUBLICAN,False,TOTAL,261553,318029,False,20250910,False,82.24
12,2020,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,False,False,MO BROOKS,REPUBLICAN,False,TOTAL,253094,264160,False,20250910,False,95.81
14,2020,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,False,False,GARY J PALMER,REPUBLICAN,False,TOTAL,274160,282261,False,20250910,False,97.13
16,2020,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,False,False,TERRI A SEWELL,DEMOCRAT,False,TOTAL,225742,232331,False,20250910,False,97.16
18,2020,ALASKA,AK,2,94,81,US HOUSE,0,GEN,False,False,ALYSE S GALVIN,DEMOCRAT,False,TOTAL,159856,353165,False,20250910,False,45.26
19,2020,ALASKA,AK,2,94,81,US HOUSE,0,GEN,False,False,DON YOUNG,REPUBLICAN,False,TOTAL,192126,353165,False,20250910,False,54.4
21,2020,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,False,False,TIFFANY SHEDD,REPUBLICAN,False,TOTAL,176709,365178,False,20250910,False,48.39
22,2020,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,False,False,TOM O'HALLERAN,DEMOCRAT,False,TOTAL,188469,365178,False,20250910,False,51.61
23,2020,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,False,False,ANN KIRKPATRICK,DEMOCRAT,False,TOTAL,209945,381054,False,20250910,False,55.1
24,2020,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,False,False,BRANDON MARTIN,REPUBLICAN,False,TOTAL,170975,381054,False,20250910,False,44.87
27,2020,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,False,False,DANIEL WOOD,REPUBLICAN,False,TOTAL,95594,269837,False,20250910,False,35.43
28,2020,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,False,False,RAUL M GRIJALVA,DEMOCRAT,False,TOTAL,174243,269837,False,20250910,False,64.57
31,2020,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,False,False,DELINA DISANTO,DEMOCRAT,False,TOTAL,120484,398623,False,20250910,False,30.23
35,2020,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,False,False,PAUL A GOSAR,REPUBLICAN,False,TOTAL,278002,398623,False,20250910,False,69.74
36,2020,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,False,False,ANDY BIGGS,REPUBLICAN,False,TOTAL,262414,445657,False,20250910,False,58.88
37,2020,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,False,False,JOAN GREENE,DEMOCRAT,False,TOTAL,183171,445657,False,20250910,False,41.1
39,2020,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,False,False,DAVID SCHWEIKERT,REPUBLICAN,False,TOTAL,217783,417427,False,20250910,False,52.17
40,2020,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,False,False,HIRAL TIPIRNENI,DEMOCRAT,False,TOTAL,199644,417427,False,20250910,False,47.83
42,2020,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,False,False,JOSHUA BARNETT,REPUBLICAN,False,TOTAL,50226,215732,False,20250910,False,23.28
44,2020,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,False,False,RUBEN GALLEGO,DEMOCRAT,False,TOTAL,165452,215732,False,20250910,False,76.69
45,2020,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,False,False,DEBBIE LESKO,REPUBLICAN,False,TOTAL,251633,422467,False,20250910,False,59.56
46,2020,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,False,False,MICHAEL MUSCATO,DEMOCRAT,False,TOTAL,170816,422467,False,20250910,False,40.43
48,2020,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,False,False,DAVE GILES,REPUBLICAN,False,TOTAL,135180,352274,False,20250910,False,38.37
49,2020,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,False,False,GREG STANTON,DEMOCRAT,False,TOTAL,217094,352274,False,20250910,False,61.63
50,2020,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,False,False,"ERIC A \""RICK\"" CRAWFORD",REPUBLICAN,False,TOTAL,237596,237596,False,20250910,False,100.0
51,2020,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,False,False,J FRENCH HILL,REPUBLICAN,False,TOTAL,184093,332503,False,20250910,False,55.37
52,2020,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,False,False,JOYCE ELLIOTT,DEMOCRAT,False,TOTAL,148410,332503,False,20250910,False,44.63
53,2020,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,False,False,CELESTE WILLIAMS,DEMOCRAT,False,TOTAL,106325,334262,False,20250910,False,31.81
55,2020,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,False,False,STEVE WOMACK,REPUBLICAN,False,TOTAL,214960,334262,False,20250910,False,64.31
56,2020,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,False,False,BRUCE WESTERMAN,REPUBLICAN,False,TOTAL,191617,275035,False,20250910,False,69.67
58,2020,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,False,False,WILLIAM H HANSON,DEMOCRAT,False,TOTAL,75750,275035,False,20250910,False,27.54
59,2020,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,False,False,AUDREY DENNEY,DEMOCRAT,False,TOTAL,154073,358263,False,20250910,False,43.01
60,2020,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,False,False,DOUG LAMALFA,REPUBLICAN,False,TOTAL,204190,358263,False,20250910,False,56.99
61,2020,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,False,False,DALE K MENSING,REPUBLICAN,False,TOTAL,94320,388755,False,20250910,False,24.26
62,2020,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,False,False,JARED HUFFMAN,DEMOCRAT,False,TOTAL,294435,388755,False,20250910,False,75.74
63,2020,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,False,False,JOHN GARAMENDI,DEMOCRAT,False,TOTAL,176043,321988,False,20250910,False,54.67
64,2020,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,False,False,TAMIKA HAMILTON,REPUBLICAN,False,TOTAL,145945,321988,False,20250910,False,45.33
65,2020,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,False,False,BRYNNE S KENNEDY,DEMOCRAT,False,TOTAL,194731,442022,False,20250910,False,44.05
66,2020,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,False,False,TOM MCCLINTOCK,REPUBLICAN,False,TOTAL,247291,442022,False,20250910,False,55.95
67,2020,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,False,False,MIKE THOMPSON,DEMOCRAT,False,TOTAL,271233,356460,False,20250910,False,76.09
68,2020,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,False,False,SCOTT GIBLIN,REPUBLICAN,False,TOTAL,85227,356460,False,20250910,False,23.91
69,2020,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,False,False,CHRIS BISH,REPUBLICAN,False,TOTAL,83466,313114,False,20250910,False,26.66
70,2020,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,False,False,DORIS O MATSUI,DEMOCRAT,False,TOTAL,229648,313114,False,20250910,False,73.34
71,2020,CALIFORNIA,CA,6,93,71,US HOUSE,7,GEN,False,False,AMI BERA,DEMOCRAT,False,TOTAL,217416,383965,False,20250910,False,56.62
72,2020,CALIFORNIA,CA,6,93,71,US HOUSE,7,GEN,False,False,BUZZ PATTERSON,REPUBLICAN,False,TOTAL,166549,383965,False,20250910,False,43.38
73,2020,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,False,False,CHRISTINE BUBSER,DEMOCRAT,False,TOTAL,124400,283111,False,20250910,False,43.94
74,2020,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,False,False,JAY OBERNOLTE,REPUBLICAN,False,TOTAL,158711,283111,False,20250910,False,56.06
75,2020,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,False,False,"ANTONIO C \""TONY\"" AMADOR",REPUBLICAN,False,TOTAL,128358,302610,False,20250910,False,42.42
76,2020,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,False,False,JERRY MCNERNEY,DEMOCRAT,False,TOTAL,174252,302610,False,20250910,False,57.58
77,2020,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,False,False,JOSH HARDER,DEMOCRAT,False,TOTAL,166865,302494,False,20250910,False,55.16
78,2020,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,False,False,TED HOWZE,REPUBLICAN,False,TOTAL,135629,302494,False,20250910,False,44.84
79,2020,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,False,False,MARK DESAULNIER,DEMOCRAT,False,TOTAL,271063,371356,False,20250910,False,72.99
80,2020,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,False,False,NISHA SHARMA,REPUBLICAN,False,TOTAL,100293,371356,False,20250910,False,27.01
81,2020,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,False,False,NANCY PELOSI,DEMOCRAT,False,TOTAL,281776,362950,False,20250910,False,77.63
82,2020,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,False,False,SHAHID BUTTAR,DEMOCRAT,False,TOTAL,81174,362950,False,20250910,False,22.37
83,2020,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,False,False,BARBARA LEE,DEMOCRAT,False,TOTAL,327863,362818,False,20250910,False,90.37
85,2020,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,False,False,JACKIE SPEIER,DEMOCRAT,False,TOTAL,278300,351005,False,20250910,False,79.29
86,2020,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,False,False,RAN S PETEL,REPUBLICAN,False,TOTAL,72705,351005,False,20250910,False,20.71
87,2020,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,False,False,ALISON HAYDEN,REPUBLICAN,False,TOTAL,99710,342701,False,20250910,False,29.1
88,2020,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,False,False,ERIC SWALWELL,DEMOCRAT,False,TOTAL,242991,342701,False,20250910,False,70.9
89,2020,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,False,False,JIM COSTA,DEMOCRAT,False,TOTAL,128690,216729,False,20250910,False,59.38
90,2020,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,False,False,KEVIN COOKINGHAM,REPUBLICAN,False,TOTAL,88039,216729,False,20250910,False,40.62
91,2020,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,False,False,RITESH TANDON,REPUBLICAN,False,TOTAL,85199,297336,False,20250910,False,28.65
92,2020,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,False,False,RO KHANNA,DEMOCRAT,False,TOTAL,212137,297336,False,20250910,False,71.35
93,2020,CALIFORNIA,CA,6,93,71,US HOUSE,18,GEN,False,False,ANNA G ESHOO,DEMOCRAT,False,TOTAL,217388,344139,False,20250910,False,63.17
94,2020,CALIFORNIA,CA,6,93,71,US HOUSE,18,GEN,False,False,RISHI KUMAR,DEMOCRAT,False,TOTAL,126751,344139,False,20250910,False,36.83
95,2020,CALIFORNIA,CA,6,93,71,US HOUSE,19,GEN,False,False,JUSTIN JAMES AGUILERA,REPUBLICAN,False,TOTAL,88642,313027,False,20250910,False,28.32
96,2020,CALIFORNIA,CA,6,93,71,US HOUSE,19,GEN,False,False,ZOE LOFGREN,DEMOCRAT,False,TOTAL,224385,313027,False,20250910,False,71.68
97,2020,CALIFORNIA,CA,6,93,71,US HOUSE,20,GEN,False,False,JEFF GORMAN,REPUBLICAN,False,TOTAL,71658,308554,False,20250910,False,23.22
98,2020,CALIFORNIA,CA,6,93,71,US HOUSE,20,GEN,False,False,JIMMY PANETTA,DEMOCRAT,False,TOTAL,236896,308554,False,20250910,False,76.78
99,2020,CALIFORNIA,CA,6,93,71,US HOUSE,21,GEN,False,False,DAVID G VALADAO,REPUBLICAN,False,TOTAL,85928,170334,False,20250910,False,50.45
100,2020,CALIFORNIA,CA,6,93,71,US HOUSE,21,GEN,False,False,TJ COX,DEMOCRAT,False,TOTAL,84406,170334,False,20250910,False,49.55
101,2020,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,False,False,DEVIN NUNES,REPUBLICAN,False,TOTAL,170888,315139,False,20250910,False,54.23
102,2020,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,False,False,PHIL ARBALLO,DEMOCRAT,False,TOTAL,144251,315139,False,20250910,False,45.77
103,2020,CALIFORNIA,CA,6,93,71,US HOUSE,23,GEN,False,False,KEVIN MCCARTHY,REPUBLICAN,False,TOTAL,190222,306118,False,20250910,False,62.14
104,2020,CALIFORNIA,CA,6,93,71,US HOUSE,23,GEN,False,False,KIM MANGONE,DEMOCRAT,False,TOTAL,115896,306118,False,20250910,False,37.86
105,2020,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,False,False,ANDY CALDWELL,REPUBLICAN,False,TOTAL,149781,362345,False,20250910,False,41.34
106,2020,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,False,False,SALUD O CARBAJAL,DEMOCRAT,False,TOTAL,212564,362345,False,20250910,False,58.66
107,2020,CALIFORNIA,CA,6,93,71,US HOUSE,25,GEN,False,False,CHRISTY SMITH,DEMOCRAT,False,TOTAL,169305,338943,False,20250910,False,49.95
108,2020,CALIFORNIA,CA,6,93,71,US HOUSE,25,GEN,False,False,MIKE GARCIA,REPUBLICAN,False,TOTAL,169638,338943,False,20250910,False,50.05
109,2020,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,False,False,JULIA BROWNLEY,DEMOCRAT,False,TOTAL,208856,344733,False,20250910,False,60.58
110,2020,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,False,False,RONDA BALDWIN-KENNEDY,REPUBLICAN,False,TOTAL,135877,344733,False,20250910,False,39.42
111,2020,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,False,False,JOHNNY J NALBANDIAN,REPUBLICAN,False,TOTAL,95907,317318,False,20250910,False,30.22
112,2020,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,False,False,JUDY CHU,DEMOCRAT,False,TOTAL,221411,317318,False,20250910,False,69.78
113,2020,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,False,False,ADAM B SCHIFF,DEMOCRAT,False,TOTAL,244271,336199,False,20250910,False,72.66
114,2020,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,False,False,ERIC EARLY,REPUBLICAN,False,TOTAL,91928,336199,False,20250910,False,27.34
115,2020,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,False,False,ANGELICA MARIA DUENAS,DEMOCRAT,False,TOTAL,91524,210944,False,20250910,False,43.39
116,2020,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,False,False,TONY CARDENAS,DEMOCRAT,False,TOTAL,119420,210944,False,20250910,False,56.61
117,2020,CALIFORNIA,CA,6,93,71,US HOUSE,30,GEN,False,False,BRAD SHERMAN,DEMOCRAT,False,TOTAL,240038,345464,False,20250910,False,69.48
118,2020,CALIFORNIA,CA,6,93,71,US HOUSE,30,GEN,False,False,MARK S REED,REPUBLICAN,False,TOTAL,105426,345464,False,20250910,False,30.52
119,2020,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,False,False,AGNES GIBBONEY,REPUBLICAN,False,TOTAL,110735,286050,False,20250910,False,38.71
120,2020,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,False,False,PETE AGUILAR,DEMOCRAT,False,TOTAL,175315,286050,False,20250910,False,61.29
121,2020,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,False,False,GRACE F NAPOLITANO,DEMOCRAT,False,TOTAL,172942,259760,False,20250910,False,66.58
122,2020,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,False,False,JOSHUA M SCOTT,REPUBLICAN,False,TOTAL,86818,259760,False,20250910,False,33.42
123,2020,CALIFORNIA,CA,6,93,71,US HOUSE,33,GEN,False,False,JAMES P BRADLEY,REPUBLICAN,False,TOTAL,123334,380428,False,20250910,False,32.42
124,2020,CALIFORNIA,CA,6,93,71,US HOUSE,33,GEN,False,False,TED LIEU,DEMOCRAT,False,TOTAL,257094,380428,False,20250910,False,67.58
125,2020,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,False,False,DAVID KIM,DEMOCRAT,False,TOTAL,96554,205346,False,20250910,False,47.02
126,2020,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,False,False,JIMMY GOMEZ,DEMOCRAT,False,TOTAL,108792,205346,False,20250910,False,52.98
127,2020,CALIFORNIA,CA,6,93,71,US HOUSE,35,GEN,False,False,MIKE CARGILE,REPUBLICAN,False,TOTAL,74941,244346,False,20250910,False,30.67
128,2020,CALIFORNIA,CA,6,93,71,US HOUSE,35,GEN,False,False,NORMA J TORRES,DEMOCRAT,False,TOTAL,169405,244346,False,20250910,False,69.33
129,2020,CALIFORNIA,CA,6,93,71,US HOUSE,36,GEN,False,False,ERIN CRUZ,REPUBLICAN,False,TOTAL,121698,306849,False,20250910,False,39.66
130,2020,CALIFORNIA,CA,6,93,71,US HOUSE,36,GEN,False,False,RAUL RUIZ,DEMOCRAT,False,TOTAL,185151,306849,False,20250910,False,60.34
132,2020,CALIFORNIA,CA,6,93,71,US HOUSE,37,GEN,False,False,KAREN BASS,DEMOCRAT,False,TOTAL,254916,296621,False,20250910,False,85.94
133,2020,CALIFORNIA,CA,6,93,71,US HOUSE,38,GEN,False,False,LINDA T SANCHEZ,DEMOCRAT,False,TOTAL,190467,256206,False,20250910,False,74.34
134,2020,CALIFORNIA,CA,6,93,71,US HOUSE,38,GEN,False,False,MICHAEL TOLAR,DEMOCRAT,False,TOTAL,65739,256206,False,20250910,False,25.66
135,2020,CALIFORNIA,CA,6,93,71,US HOUSE,39,GEN,False,False,GILBERT RAY CISNEROS JR,DEMOCRAT,False,TOTAL,169837,343783,False,20250910,False,49.4
136,2020,CALIFORNIA,CA,6,93,71,US HOUSE,39,GEN,False,False,YOUNG KIM,REPUBLICAN,False,TOTAL,173946,343783,False,20250910,False,50.6
137,2020,CALIFORNIA,CA,6,93,71,US HOUSE,40,GEN,False,False,C ANTONIO DELGADO,REPUBLICAN,False,TOTAL,50809,186381,False,20250910,False,27.26
138,2020,CALIFORNIA,CA,6,93,71,US HOUSE,40,GEN,False,False,LUCILLE ROYBAL-ALLARD,DEMOCRAT,False,TOTAL,135572,186381,False,20250910,False,72.74
139,2020,CALIFORNIA,CA,6,93,71,US HOUSE,41,GEN,False,False,AJA SMITH,REPUBLICAN,False,TOTAL,94447,262573,False,20250910,False,35.97
140,2020,CALIFORNIA,CA,6,93,71,US HOUSE,41,GEN,False,False,MARK TAKANO,DEMOCRAT,False,TOTAL,168126,262573,False,20250910,False,64.03
141,2020,CALIFORNIA,CA,6,93,71,US HOUSE,42,GEN,False,False,KEN CALVERT,REPUBLICAN,False,TOTAL,210274,368047,False,20250910,False,57.13
142,2020,CALIFORNIA,CA,6,93,71,US HOUSE,42,GEN,False,False,"WILLIAM \""LIAM\"" O'MARA",DEMOCRAT,False,TOTAL,157773,368047,False,20250910,False,42.87
143,2020,CALIFORNIA,CA,6,93,71,US HOUSE,43,GEN,False,False,JOE E COLLINS III,REPUBLICAN,False,TOTAL,78688,277898,False,20250910,False,28.32
144,2020,CALIFORNIA,CA,6,93,71,US HOUSE,43,GEN,False,False,MAXINE WATERS,DEMOCRAT,False,TOTAL,199210,277898,False,20250910,False,71.68
145,2020,CALIFORNIA,CA,6,93,71,US HOUSE,44,GEN,False,False,ANALILIA JOYA,DEMOCRAT,False,TOTAL,66375,206036,False,20250910,False,32.22
146,2020,CALIFORNIA,CA,6,93,71,US HOUSE,44,GEN,False,False,NANETTE DIAZ BARRAGAN,DEMOCRAT,False,TOTAL,139661,206036,False,20250910,False,67.78
147,2020,CALIFORNIA,CA,6,93,71,US HOUSE,45,GEN,False,False,GREG RATHS,REPUBLICAN,False,TOTAL,193096,414939,False,20250910,False,46.54
148,2020,CALIFORNIA,CA,6,93,71,US HOUSE,45,GEN,False,False,KATIE PORTER,DEMOCRAT,False,TOTAL,221843,414939,False,20250910,False,53.46
149,2020,CALIFORNIA,CA,6,93,71,US HOUSE,46,GEN,False,False,J LUIS CORREA,DEMOCRAT,False,TOTAL,157803,229519,False,20250910,False,68.75
150,2020,CALIFORNIA,CA,6,93,71,US HOUSE,46,GEN,False,False,JAMES S WATERS,REPUBLICAN,False,TOTAL,71716,229519,False,20250910,False,31.25
151,2020,CALIFORNIA,CA,6,93,71,US HOUSE,47,GEN,False,False,ALAN S LOWENTHAL,DEMOCRAT,False,TOTAL,197028,311399,False,20250910,False,63.27
152,2020,CALIFORNIA,CA,6,93,71,US HOUSE,47,GEN,False,False,JOHN BRISCOE,REPUBLICAN,False,TOTAL,114371,311399,False,20250910,False,36.73
153,2020,CALIFORNIA,CA,6,93,71,US HOUSE,48,GEN,False,False,HARLEY ROUDA,DEMOCRAT,False,TOTAL,193362,395100,False,20250910,False,48.94
154,2020,CALIFORNIA,CA,6,93,71,US HOUSE,48,GEN,False,False,MICHELLE STEEL,REPUBLICAN,False,TOTAL,201738,395100,False,20250910,False,51.06
155,2020,CALIFORNIA,CA,6,93,71,US HOUSE,49,GEN,False,False,BRIAN MARYOTT,REPUBLICAN,False,TOTAL,181157,386506,False,20250910,False,46.87
156,2020,CALIFORNIA,CA,6,93,71,US HOUSE,49,GEN,False,False,MIKE LEVIN,DEMOCRAT,False,TOTAL,205349,386506,False,20250910,False,53.13
157,2020,CALIFORNIA,CA,6,93,71,US HOUSE,50,GEN,False,False,AMMAR CAMPA-NAJJAR,DEMOCRAT,False,TOTAL,166869,362390,False,20250910,False,46.05
158,2020,CALIFORNIA,CA,6,93,71,US HOUSE,50,GEN,False,False,DARRELL ISSA,REPUBLICAN,False,TOTAL,195521,362390,False,20250910,False,53.95
159,2020,CALIFORNIA,CA,6,93,71,US HOUSE,51,GEN,False,False,JUAN M HIDALGO JR,REPUBLICAN,False,TOTAL,76841,242437,False,20250910,False,31.7
160,2020,CALIFORNIA,CA,6,93,71,US HOUSE,51,GEN,False,False,JUAN VARGAS,DEMOCRAT,False,TOTAL,165596,242437,False,20250910,False,68.3
161,2020,CALIFORNIA,CA,6,93,71,US HOUSE,52,GEN,False,False,JIM DEBELLO,REPUBLICAN,False,TOTAL,152350,396495,False,20250910,False,38.42
162,2020,CALIFORNIA,CA,6,93,71,US HOUSE,52,GEN,False,False,SCOTT H PETERS,DEMOCRAT,False,TOTAL,244145,396495,False,20250910,False,61.58
163,2020,CALIFORNIA,CA,6,93,71,US HOUSE,53,GEN,False,False,GEORGETTE GOMEZ,DEMOCRAT,False,TOTAL,135614,334858,False,20250910,False,40.5
164,2020,CALIFORNIA,CA,6,93,71,US HOUSE,53,GEN,False,False,SARA JACOBS,DEMOCRAT,False,TOTAL,199244,334858,False,20250910,False,59.5
165,2020,COLORADO,CO,8,84,62,US HOUSE,1,GEN,False,False,DIANA DEGETTE,DEMOCRAT,False,TOTAL,331621,450290,False,20250910,False,73.65
169,2020,COLORADO,CO,8,84,62,US HOUSE,1,GEN,False,False,SHANE BOLLING,REPUBLICAN,False,TOTAL,105955,450290,False,20250910,False,23.53
170,2020,COLORADO,CO,8,84,62,US HOUSE,2,GEN,False,False,CHARLIE WINN,REPUBLICAN,False,TOTAL,182547,515663,False,20250910,False,35.4
172,2020,COLORADO,CO,8,84,62,US HOUSE,2,GEN,False,False,JOE NEGUSE,DEMOCRAT,False,TOTAL,316925,515663,False,20250910,False,61.46
175,2020,COLORADO,CO,8,84,62,US HOUSE,3,GEN,False,False,DIANE E MITSCH BUSH,DEMOCRAT,False,TOTAL,194122,429319,False,20250910,False,45.22
177,2020,COLORADO,CO,8,84,62,US HOUSE,3,GEN,False,False,LAUREN BOEBERT,REPUBLICAN,False,TOTAL,220634,429319,False,20250910,False,51.39
179,2020,COLORADO,CO,8,84,62,US HOUSE,4,GEN,False,False,IKE MCCORKLE,DEMOCRAT,False,TOTAL,173945,475107,False,20250910,False,36.61
180,2020,COLORADO,CO,8,84,62,US HOUSE,4,GEN,False,False,KEN BUCK,REPUBLICAN,False,TOTAL,285606,475107,False,20250910,False,60.11
182,2020,COLORADO,CO,8,84,62,US HOUSE,5,GEN,False,False,DOUG LAMBORN,REPUBLICAN,False,TOTAL,249013,432407,False,20250910,False,57.59
184,2020,COLORADO,CO,8,84,62,US HOUSE,5,GEN,False,False,JILLIAN FREELAND,DEMOCRAT,False,TOTAL,161600,432407,False,20250910,False,37.37
188,2020,COLORADO,CO,8,84,62,US HOUSE,6,GEN,False,False,JASON CROW,DEMOCRAT,False,TOTAL,250314,438473,False,20250910,False,57.09
190,2020,COLORADO,CO,8,84,62,US HOUSE,6,GEN,False,False,STEVE HOUSE,REPUBLICAN,False,TOTAL,175192,438473,False,20250910,False,39.96
191,2020,COLORADO,CO,8,84,62,US HOUSE,7,GEN,False,False,"CHARLES \""CASPER\"" STOCKHAM",REPUBLICAN,False,TOTAL,159301,423691,False,20250910,False,37.6
193,2020,COLORADO,CO,8,84,62,US HOUSE,7,GEN,False,False,ED PERLMUTTER,DEMOCRAT,False,TOTAL,250525,423691,False,20250910,False,59.13
195,2020,CONNECTICUT,CT,9,16,1,US HOUSE,1,GEN,False,False,JOHN B LARSON,DEMOCRAT,False,TOTAL,213001,349237,False,20250910,True,60.99
197,2020,CONNECTICUT,CT,9,16,1,US HOUSE,1,GEN,False,False,MARY FAY,REPUBLICAN,False,TOTAL,122111,349237,False,20250910,False,34.97
201,2020,CONNECTICUT,CT,9,16,1,US HOUSE,2,GEN,False,False,JOE COURTNEY,DEMOCRAT,False,TOTAL,207303,367347,False,20250910,True,56.43
204,2020,CONNECTICUT,CT,9,16,1,US HOUSE,2,GEN,False,False,JUSTIN ANDERSON,REPUBLICAN,False,TOTAL,140356,367347,False,20250910,False,38.21
207,2020,CONNECTICUT,CT,9,16,1,US HOUSE,3,GEN,False,False,MARGARET STREICKER,REPUBLICAN,False,TOTAL,131568,346103,False,20250910,True,38.01
208,2020,CONNECTICUT,CT,9,16,1,US HOUSE,3,GEN,False,False,ROSA L DELAURO,DEMOCRAT,False,TOTAL,194259,346103,False,20250910,True,56.13
211,2020,CONNECTICUT,CT,9,16,1,US HOUSE,4,GEN,False,False,JAMES A HIMES,DEMOCRAT,False,TOTAL,224432,360716,False,20250910,False,62.22
